token	number	frequency
ball	singular	171706
wine	singular	208880
mountain	singular	263205
centre	singular	164681
breath	singular	215005
mixture	singular	62252
depression	singular	28131
impression	singular	144636
fruit	singular	176177
resource	singular	18252
item	singular	26566
customer	singular	15340
spot	singular	250578
horses	plural	331551
wages	plural	63913
decades	plural	6806
payments	plural	12455
equations	plural	3513
salt	singular	164650
lady	singular	905615
measurements	plural	12851
foundation	singular	87124
skill	singular	116314
sheet	singular	73232
challenge	singular	35316
gift	singular	111542
kitchen	singular	120643
delivery	singular	23811
card	singular	72466
towns	plural	113429
session	singular	46510
weather	singular	194805
fingers	plural	174905
possession	singular	226348
flight	singular	132757
phrase	singular	67740
contributions	plural	21913
survival	singular	12494
references	plural	29205
journey	singular	248114
vessels	plural	135729
weapons	plural	66364
cultures	plural	2388
dimensions	plural	32658
channel	singular	68005
qualities	plural	108772
virtue	singular	152884
arrangements	plural	63894
editor	singular	71601
border	singular	68737
directions	plural	87350
decade	singular	12087
decline	singular	41634
considerations	plural	37217
conception	singular	86064
requirement	singular	6164
wage	singular	20310
victory	singular	138349
variations	plural	28960
enterprise	singular	70624
minority	singular	18984
presentation	singular	19248
expectations	plural	23449
possibilities	plural	32033
developments	plural	13690
answers	plural	52859
telephone	singular	52623
minister	singular	195143
diseases	plural	45319
films	plural	9884
roots	plural	71124
proposal	singular	47439
shoulder	singular	178272
prison	singular	141502
judge	singular	258341
losses	plural	31883
cup	singular	140805
imagination	singular	139416
achievement	singular	22647
prayer	singular	167464
symbol	singular	39599
lips	plural	323228
link	singular	28959
profits	plural	32438
limitations	plural	17276
scholars	plural	40332
chest	singular	77320
minds	plural	148156
waters	plural	175726
anger	singular	119268
bond	singular	44931
cover	singular	158976
stars	plural	153795
comments	plural	17186
discourse	singular	53713
trend	singular	6885
classification	singular	20471
minute	singular	241098
sons	plural	170544
scientists	plural	11162
tables	plural	66828
climate	singular	71935
assumptions	plural	4847
disorder	singular	35647
windows	plural	164253
shop	singular	125393
summary	singular	23366
engine	singular	87043
fluid	singular	32458
bonds	plural	41192
scores	plural	21501
diameter	singular	57887
heaven	singular	398880
fuel	singular	34969
paragraph	singular	28352
disorders	plural	11510
owners	plural	43762
reflection	singular	72991
county	singular	167459
kids	plural	11757
mountains	plural	242035
strain	singular	79365
molecules	plural	6775
compensation	singular	27486
membrane	singular	16494
joy	singular	283516
meat	singular	132292
hotel	singular	154396
beam	singular	35726
removal	singular	39656
brothers	plural	139332
aim	singular	82179
waste	singular	106167
jurisdiction	singular	34999
metal	singular	81402
employer	singular	22881
offices	plural	67057
liability	singular	8213
average	singular	97075
discussions	plural	18024
machines	plural	38734
conclusions	plural	36454
revenue	singular	43048
mothers	plural	50697
arrival	singular	154151
temperatures	plural	7591
conversion	singular	31483
gun	singular	174799
colleagues	plural	17113
villages	plural	70422
burden	singular	83158
punishment	singular	107859
occupation	singular	72337
estimates	plural	12594
artists	plural	50949
promise	singular	212251
muscles	plural	47313
council	singular	203203
row	singular	107716
cards	plural	68451
proteins	plural	1323
score	singular	68625
accident	singular	100389
loan	singular	26584
elections	plural	27344
travel	singular	100191
blocks	plural	35545
hole	singular	142218
diet	singular	39999
constitution	singular	164709
opinions	plural	98130
essence	singular	42655
painting	singular	77413
breast	singular	162993
plot	singular	62700
track	singular	89294
sake	singular	203253
vessel	singular	173782
nurse	singular	96279
chief	singular	467534
magnitude	singular	25241
poems	plural	88113
entrance	singular	146574
choices	plural	1417
diversity	singular	12861
coal	singular	89839
males	plural	30743
murder	singular	118962
faculty	singular	48217
guide	singular	130147
clause	singular	27082
victim	singular	74431
snow	singular	239116
residents	plural	12953
dimension	singular	3929
pounds	plural	169880
layers	plural	18355
fate	singular	198877
electron	singular	1442
symbols	plural	21167
dance	singular	127087
factory	singular	41712
sphere	singular	50855
vote	singular	90796
newspapers	plural	56566
adjustment	singular	14756
grass	singular	193933
doors	plural	140284
messages	plural	24884
physician	singular	71010
temple	singular	180735
fault	singular	123702
complexity	singular	7287
partners	plural	24725
attacks	plural	51102
responsibilities	plural	15039
tongue	singular	169221
landscape	singular	50915
cotton	singular	100157
emotions	plural	55239
negotiations	plural	28047
display	singular	59382
pressures	plural	3400
button	singular	29226
candidate	singular	30690
suit	singular	126198
loans	plural	11152
conflicts	plural	11481
utility	singular	20541
roof	singular	139153
execution	singular	85709
dreams	plural	107056
secretary	singular	146278
expenditure	singular	25036
surfaces	plural	19441
channels	plural	23001
shoulders	plural	169242
consent	singular	106135
witness	singular	123165
laboratory	singular	21531
crops	plural	42708
restrictions	plural	14809
occasions	plural	92381
signals	plural	18890
valley	singular	230565
profession	singular	82654
priest	singular	172646
emergency	singular	27519
lawyer	singular	77157
desk	singular	71359
obligation	singular	38933
wire	singular	79848
diagram	singular	14138
camera	singular	16255
kingdom	singular	189569
columns	plural	59726
sounds	plural	113892
eggs	plural	126677
star	singular	128391
bus	singular	11621
fraction	singular	12707
treaty	singular	102484
dogs	plural	134402
victims	plural	46083
stores	plural	58908
players	plural	33437
estimate	singular	48976
export	singular	13357
acquisition	singular	17952
candidates	plural	19189
suggestion	singular	86283
vice	singular	87383
magazine	singular	56437
agreements	plural	9327
segment	singular	7147
generations	plural	55050
mood	singular	71511
testimony	singular	79941
chamber	singular	152763
deposits	plural	24891
copper	singular	74922
passion	singular	185723
volumes	plural	73146
sciences	plural	34693
trends	plural	1144
enterprises	plural	17050
driver	singular	57736
departments	plural	27807
curves	plural	17091
exports	plural	22835
analyses	plural	3454
operator	singular	16295
humanity	singular	99329
colors	plural	57880
gate	singular	193635
modes	plural	25304
transaction	singular	21279
links	plural	16849
decrease	singular	12684
schedule	singular	7987
province	singular	100972
experts	plural	11340
prisoners	plural	138005
bird	singular	224534
particle	singular	14056
mistake	singular	131686
substances	plural	35321
friendship	singular	129366
bones	plural	109928
actors	plural	28736
servants	plural	173765
pupils	plural	51507
hat	singular	205473
convention	singular	78986
transactions	plural	24563
doctors	plural	42167
finger	singular	117360
conviction	singular	82282
obligations	plural	29581
tons	plural	41118
crop	singular	43702
statute	singular	24573
civilization	singular	80917
proposals	plural	17657
speaker	singular	62729
residence	singular	84387
apartment	singular	69315
moon	singular	193886
migration	singular	16296
preference	singular	31385
influences	plural	46182
foods	plural	12642
club	singular	122920
entity	singular	5509
verse	singular	95618
grade	singular	26680
worship	singular	138986
divisions	plural	57438
cat	singular	116020
guns	plural	170438
universities	plural	20043
habits	plural	108212
pairs	plural	28343
dialogue	singular	24085
player	singular	31429
phases	plural	18334
islands	plural	164775
stones	plural	161861
meal	singular	111486
tissues	plural	13258
slope	singular	59654
habit	singular	152161
mirror	singular	52899
uncertainty	singular	27365
indication	singular	23398
inquiry	singular	75520
sports	plural	24421
coat	singular	165821
fund	singular	31901
evil	singular	294550
returns	plural	52048
promotion	singular	21380
spirits	plural	176691
theatre	singular	86467
scenes	plural	95553
profile	singular	12792
recommendations	plural	7980
plates	plural	72450
empire	singular	157530
locations	plural	2998
occurrence	singular	41679
judges	plural	65663
employers	plural	15523
stuff	singular	80576
guy	singular	44268
weakness	singular	87568
securities	plural	8831
