token	number	frequency
secretaries	plural	9725
cereal	singular	2640
cube	singular	4324
rails	plural	20552
erection	singular	16817
vesicles	plural	1782
civilisation	singular	25994
newcomers	plural	5179
handkerchief	singular	56796
citation	singular	2644
compiler	singular	3114
accommodations	plural	6436
wolves	plural	34533
extremities	plural	14576
apostles	plural	40171
dogma	singular	12128
elephants	plural	22580
conductors	plural	7092
brokers	plural	4843
pores	plural	12173
lane	singular	81138
decrees	plural	17163
cylinders	plural	9622
thieves	plural	35394
bulletin	singular	10440
outrage	singular	21212
steamer	singular	64520
peas	plural	19013
gateway	singular	19084
impurities	plural	4292
citations	plural	2478
planters	plural	12144
permits	plural	13155
rebel	singular	43242
exaggeration	singular	15525
philosophies	plural	3416
spear	singular	46121
cookies	plural	3494
cores	plural	1692
stanza	singular	14464
petitioner	singular	2908
peril	singular	49977
annuity	singular	5536
honors	plural	24406
subscribers	plural	8233
attachments	plural	4353
gangs	plural	5534
sleeves	plural	24849
democracies	plural	1655
monasteries	plural	14383
township	singular	13021
inventor	singular	19374
waiter	singular	27775
trenches	plural	40699
avenues	plural	11413
judgements	plural	1425
nationalists	plural	2491
manure	singular	16373
fertilizers	plural	2387
constitutions	plural	12954
ornament	singular	36443
thinker	singular	11046
menace	singular	19140
sects	plural	14342
municipality	singular	4709
aisle	singular	17781
bachelor	singular	22078
safeguards	plural	2848
ounce	singular	24769
excesses	plural	10879
prizes	plural	19987
actuality	singular	3895
preachers	plural	17859
interrogation	singular	5155
claimant	singular	4851
jurors	plural	4289
acquaintances	plural	26569
sponsor	singular	2028
shepherd	singular	47160
majesty	singular	200833
niece	singular	41206
dams	plural	4249
journeys	plural	18409
parlor	singular	33821
constituencies	plural	2529
coils	plural	11143
recipes	plural	5059
banquet	singular	26850
volts	plural	2898
invaders	plural	15582
spider	singular	23104
indulgence	singular	30716
bend	singular	52941
bean	singular	15370
socks	plural	8964
coconut	singular	2421
tutor	singular	21899
playwright	singular	3232
inconsistency	singular	8012
supporter	singular	6325
eruption	singular	10653
filaments	plural	5721
punishments	plural	12225
climates	plural	9015
earthquakes	plural	9147
accompaniment	singular	15313
shipments	plural	2526
ulcers	plural	3631
tides	plural	14498
civilizations	plural	3146
holding	singular	200985
generators	plural	1921
treasurer	singular	23157
fossils	plural	8041
theatres	plural	15665
prescriptions	plural	3604
transformer	singular	1872
enamel	singular	7658
horrors	plural	27531
screws	plural	9027
flask	singular	13984
mosque	singular	12683
bracket	singular	3506
mount	singular	104314
villa	singular	32885
scar	singular	12457
spores	plural	8562
skirts	plural	24794
scalp	singular	11409
feather	singular	37998
germ	singular	20593
pilgrims	plural	25533
mesh	singular	3696
growers	plural	5493
groove	singular	9192
traveller	singular	52408
sculptures	plural	6813
cords	plural	16882
classmates	plural	2220
shrimp	singular	3041
perfume	singular	23353
escort	singular	35816
reservoirs	plural	4112
jars	plural	15008
donations	plural	4041
traveler	singular	14261
foe	singular	61127
oscillation	singular	2143
contests	plural	10073
vines	plural	26415
denominations	plural	7044
pronouns	plural	4691
assent	singular	30636
veteran	singular	18949
stripes	plural	20261
reinforcements	plural	15971
bears	plural	83577
compliment	singular	34804
sponsors	plural	1496
float	singular	26926
lawsuit	singular	4295
lobes	plural	7807
rations	plural	17965
mushrooms	plural	10757
deliberation	singular	16974
borrower	singular	2106
handles	plural	12744
sculptor	singular	16636
complexion	singular	35811
guise	singular	20702
maze	singular	11051
decorations	plural	16688
bronze	singular	41886
pitcher	singular	16703
carpenter	singular	31669
palate	singular	8902
incarnation	singular	11868
scratch	singular	17557
disguise	singular	36285
flaws	plural	2524
mischief	singular	61348
palaces	plural	27512
regulator	singular	2348
cigar	singular	43199
whales	plural	9467
dash	singular	38345
chimney	singular	45247
pill	singular	7253
grievance	singular	11091
scriptures	plural	35711
greenhouse	singular	3940
winners	plural	2804
cones	plural	8658
lecturer	singular	9664
dip	singular	20513
compartments	plural	8360
dwellers	plural	12107
crusade	singular	13554
cartoon	singular	4236
headlines	plural	2510
bet	singular	48418
educator	singular	2406
witches	plural	19144
assemblage	singular	12721
cavities	plural	6980
rug	singular	17754
parishes	plural	10441
halves	plural	10472
bearer	singular	24858
liturgy	singular	5076
riders	plural	17992
contingent	singular	11500
importation	singular	11318
vacancy	singular	10579
torch	singular	25609
canyon	singular	21644
deformity	singular	6911
creep	singular	23701
gulf	singular	53931
chase	singular	68388
scroll	singular	9191
reef	singular	20722
benches	plural	17758
scripture	singular	45963
nationalities	plural	6484
lanes	plural	13516
whistle	singular	40121
fists	plural	16379
generality	singular	6130
pastures	plural	17563
mare	singular	31969
distraction	singular	9122
disagreements	plural	1526
rhyme	singular	20780
creations	plural	9277
capillaries	plural	1703
socialists	plural	10749
brotherhood	singular	19284
staffs	plural	2660
monograph	singular	4177
insurrection	singular	23187
biographies	plural	5677
masterpiece	singular	12474
revelations	plural	14927
tenets	plural	6588
emergencies	plural	6676
speculations	plural	18177
organizers	plural	1206
inspectors	plural	5602
vices	plural	26193
bulbs	plural	6536
mortgages	plural	3719
cereals	plural	4184
ordinances	plural	13833
reins	plural	28475
forts	plural	27148
petals	plural	17194
tumours	plural	1700
precursors	plural	1479
discharges	plural	6339
exemptions	plural	1457
deliberations	plural	5870
sympathies	plural	22604
calves	plural	12080
rehearsal	singular	8777
sinners	plural	22105
joys	plural	33087
junk	singular	6477
trumpet	singular	27900
vine	singular	33654
donation	singular	5221
divers	plural	25644
associate	singular	26575
shafts	plural	20247
secretions	plural	2760
maneuver	singular	2379
corridors	plural	9009
eminence	singular	29182
fishery	singular	6322
peculiarities	plural	23516
cowboy	singular	9250
bosses	plural	4388
yearning	singular	16513
shelters	plural	5175
parody	singular	4349
stigma	singular	6251
exertion	singular	28678
endowment	singular	7460
nostrils	plural	24733
remembrance	singular	43551
mornings	plural	13642
analogies	plural	5392
elevations	plural	6075
lapse	singular	19333
orbits	plural	4861
assurances	plural	11287
turkey	singular	48275
proprietors	plural	17900
bud	singular	36363
clergyman	singular	39423
impurity	singular	3834
reunion	singular	7922
tunes	plural	9646
feat	singular	17991
ceilings	plural	5087
scholarships	plural	1659
cabbage	singular	17439
bug	singular	9023
slit	singular	10180
dolls	plural	12110
regulators	plural	1405
submarines	plural	7225
supposition	singular	24335
delusion	singular	19996
pearls	plural	30488
fraternity	singular	10785
mules	plural	30813
lenders	plural	1744
moss	singular	38046
bursts	plural	13072
discounts	plural	1073
abscess	singular	3576
boil	singular	49012
absurdity	singular	18258
pigments	plural	3327
runner	singular	11197
clans	plural	8010
chords	plural	8568
connexion	singular	24332
suburb	singular	8503
allusions	plural	13491
flocks	plural	28007
studios	plural	2448
interpreters	plural	6115
opposites	plural	3041
magnitudes	plural	2099
favorite	singular	60389
diameters	plural	3235
kick	singular	29522
convoy	singular	11960
deliveries	plural	1313
toil	singular	52634
mounds	plural	14952
filament	singular	3238
fallacy	singular	7865
empires	plural	8692
vase	singular	18160
tunnels	plural	6244
resume	singular	24670
deserts	plural	17860
drawers	plural	15296
hybrids	plural	4093
spindle	singular	9116
promotions	plural	1797
meadows	plural	37021
ration	singular	6600
photographers	plural	1937
physicist	singular	2341
celebrity	singular	10240
subdivisions	plural	4210
parasite	singular	5825
sandwiches	plural	9289
clocks	plural	9374
landmark	singular	4790
annoyance	singular	26580
delicacy	singular	35462
engagements	plural	19734
bugs	plural	6439
playground	singular	5046
realist	singular	2076
guerrilla	singular	1821
pane	singular	9797
defender	singular	8067
constellation	singular	6951
dessert	singular	10741
diplomats	plural	2192
stall	singular	14667
monsters	plural	16621
lava	singular	16080
inconvenience	singular	20401
spices	plural	9858
fluctuation	singular	1817
flashes	plural	18308
nun	singular	17944
arrivals	plural	6138
cradle	singular	27237
thermometer	singular	15604
battalions	plural	16073
suture	singular	2525
helper	singular	7888
headline	singular	1002
streak	singular	15354
sugars	plural	1705
survivor	singular	4913
explosions	plural	6787
allegory	singular	7675
packs	plural	9390
runners	plural	10193
consultations	plural	3291
bows	plural	38051
tyrant	singular	31214
chemist	singular	12086
promoters	plural	4377
summaries	plural	1054
monitors	plural	2028
dispatch	singular	17201
natures	plural	21658
sinner	singular	27292
rumor	singular	11140
royalties	plural	2368
seekers	plural	6369
flaw	singular	6664
pier	singular	21220
spectacles	plural	26130
bedrooms	plural	6097
symphony	singular	11847
commandments	plural	16965
antagonists	plural	5289
hue	singular	32189
experimenter	singular	1646
rupees	plural	6874
footnote	singular	323504
ankles	plural	10939
tropics	plural	10203
obscurity	singular	21571
arbitrator	singular	1480
messengers	plural	23747
purchasers	plural	5405
pines	plural	29932
bids	plural	17171
contingencies	plural	4189
pirates	plural	29475
emigrants	plural	14032
libel	singular	7748
prostitute	singular	3964
socket	singular	6190
irregularities	plural	5983
emblem	singular	17212
excursion	singular	23034
treatises	plural	9731
brakes	plural	5451
scream	singular	28799
assaults	plural	9674
vapour	singular	15346
tar	singular	16513
inconsistencies	plural	3760
claws	plural	22789
mattress	singular	8936
correspondents	plural	12436
guerrillas	plural	1786
adversaries	plural	13178
humanities	plural	1477
vacancies	plural	3570
dialogues	plural	7277
endeavors	plural	8784
flakes	plural	10376
bananas	plural	8251
diplomat	singular	3470
mint	singular	12687
protector	singular	23579
rises	plural	59197
butterfly	singular	21797
turtle	singular	20386
keeper	singular	50033
carts	plural	19098
commune	singular	12792
prism	singular	4049
atrocities	plural	6675
canoes	plural	32346
recess	singular	16358
gallon	singular	9550
cricket	singular	18715
stains	plural	10794
apron	singular	24377
rags	plural	25440
sweater	singular	3630
clips	plural	1208
terraces	plural	10521
perturbation	singular	4437
invitations	plural	13483
shouts	plural	38372
freezing	singular	14341
auditors	plural	6887
denomination	singular	8286
necks	plural	21107
cocktail	singular	2440
spur	singular	23969
airplanes	plural	1899
aptitude	singular	7217
emperors	plural	17747
nickname	singular	6857
recollections	plural	23196
quarrels	plural	19417
woodland	singular	19028
shrines	plural	8759
tumour	singular	2417
conjecture	singular	25636
endeavour	singular	43368
physicists	plural	1698
precaution	singular	24743
towels	plural	5413
seam	singular	5986
destinations	plural	1020
dinners	plural	17368
spines	plural	15331
wrists	plural	12673
expanse	singular	18274
maple	singular	16417
fringes	plural	4802
consonants	plural	3925
dunes	plural	6196
cushion	singular	14934
coals	plural	21762
cascade	singular	6647
picnic	singular	14242
warehouses	plural	6841
cabinets	plural	5762
shale	singular	3546
drawbacks	plural	4777
explorers	plural	10418
reaches	plural	37499
imperfections	plural	6317
immigrant	singular	4273
organizer	singular	2130
grafts	plural	1577
chap	singular	91387
dictates	plural	9834
sacrament	singular	20157
archbishop	singular	59044
raft	singular	22590
reviewer	singular	3969
steward	singular	34500
drawback	singular	6461
tragedies	plural	11842
decreases	plural	2726
tokens	plural	12008
hostess	singular	30553
repetitions	plural	4516
bats	plural	8912
paints	plural	8615
grape	singular	20953
corpses	plural	11045
biographer	singular	8893
summers	plural	11703
wits	plural	35656
traitor	singular	31291
cutter	singular	21180
inspections	plural	1022
gardener	singular	25187
gram	singular	9582
cubes	plural	3035
cults	plural	3076
commentator	singular	3705
reptiles	plural	12523
fortifications	plural	18821
ribbons	plural	17960
pastors	plural	7009
chancellor	singular	42199
cottages	plural	19665
ledger	singular	5916
voyages	plural	20680
smokers	plural	1990
carriages	plural	34425
gears	plural	2209
quotes	plural	12379
hallucinations	plural	3412
archaeologists	plural	1260
telephones	plural	8365
pulpit	singular	28894
cherry	singular	28333
reefs	plural	10129
puppet	singular	6201
borrowers	plural	1141
blouse	singular	8124
depressions	plural	3756
stride	singular	12928
youngster	singular	12696
pouch	singular	10471
landmarks	plural	6218
clutch	singular	11886
rag	singular	18941
airports	plural	8498
boulders	plural	11944
sutures	plural	1565
reviewers	plural	2562
tavern	singular	32586
formality	singular	9646
castles	plural	22603
carrots	plural	8346
residences	plural	7679
mathematician	singular	5611
stacks	plural	5812
vent	singular	23489
chill	singular	36266
butterflies	plural	16611
lottery	singular	7043
hurricane	singular	14201
vertebrates	plural	3773
revolver	singular	35263
decks	plural	18200
spruce	singular	15598
bearers	plural	15649
ledge	singular	23906
hobby	singular	7459
excursions	plural	15940
maneuvers	plural	1910
prohibitions	plural	3052
exhibits	plural	18173
furnaces	plural	8393
compromises	plural	2826
utensils	plural	12091
curls	plural	22891
badge	singular	13377
conveyance	singular	14213
dependencies	plural	4043
parcels	plural	9983
provocation	singular	10330
intrigue	singular	17151
prelude	singular	9527
saloon	singular	26262
comb	singular	17488
electors	plural	11969
stare	singular	33129
reformer	singular	11892
necklace	singular	15193
splendor	singular	24911
discord	singular	15818
theorist	singular	1503
interpolation	singular	2089
meats	plural	11200
cabins	plural	14043
shout	singular	59738
sages	plural	8510
bulls	plural	14588
edifice	singular	22494
villain	singular	29153
pretensions	plural	20671
temptations	plural	17502
stalls	plural	12845
liner	singular	4946
rainbow	singular	20280
inclinations	plural	11929
jackets	plural	8180
swamps	plural	12905
slums	plural	4397
outs	plural	4953
pillows	plural	13671
brushes	plural	10361
pitfalls	plural	2788
tournament	singular	7344
notch	singular	7824
luncheon	singular	31865
arcs	plural	2048
casualty	singular	2977
dictionaries	plural	3760
chunks	plural	2113
submarine	singular	27802
chaplain	singular	24009
juices	plural	5660
spike	singular	9203
docks	plural	9597
highlands	plural	15604
foes	plural	40459
glances	plural	32750
calamity	singular	27363
shark	singular	12279
memoir	singular	13984
convulsions	plural	11132
landowner	singular	3001
shields	plural	19327
affinities	plural	5936
stitch	singular	16191
pebbles	plural	14996
reel	singular	21830
adjunct	singular	3355
conduit	singular	3806
scatter	singular	13477
desks	plural	5216
timer	singular	1539
decency	singular	13501
introductions	plural	5183
melodies	plural	9342
bead	singular	7445
ligaments	plural	2191
invocation	singular	5341
exiles	plural	10391
ambassadors	plural	19308
admirers	plural	16175
platoon	singular	5610
plank	singular	20108
spikes	plural	7680
clays	plural	3632
medal	singular	19980
evasion	singular	5306
fumes	plural	9787
juveniles	plural	1210
novice	singular	8260
stalk	singular	17115
apostle	singular	37597
mats	plural	10113
mechanic	singular	10043
moles	plural	3192
beetles	plural	9544
cookie	singular	1530
cupboard	singular	16892
partitions	plural	4294
champions	plural	10730
commandment	singular	14974
housekeeper	singular	26213
delusions	plural	6435
stalks	plural	14993
caravan	singular	17043
donkey	singular	20092
ballad	singular	24024
subscriptions	plural	8150
stump	singular	18892
billing	singular	2251
caller	singular	4905
conversions	plural	2235
pigeons	plural	18368
announcements	plural	2762
confessions	plural	11135
declines	plural	5492
firearms	plural	6966
affidavit	singular	4286
altitudes	plural	3934
biologists	plural	1276
migrations	plural	5093
cuff	singular	5088
seams	plural	6755
transgression	singular	6699
burials	plural	2865
penance	singular	17318
manipulations	plural	1491
cartoons	plural	2697
fares	plural	5802
pleas	plural	5841
abbreviations	plural	1987
solicitor	singular	13033
falsehood	singular	26529
wardrobe	singular	14055
grooves	plural	5853
tremor	singular	10585
banners	plural	16509
diploma	singular	3573
eclipse	singular	13660
scarf	singular	12079
censure	singular	20688
steak	singular	8950
helpers	plural	5825
rift	singular	4684
deceit	singular	14236
apprentice	singular	11807
conquests	plural	15007
ram	singular	20257
metre	singular	9484
hostages	plural	7235
footnotes	plural	32400
habitation	singular	19637
funnel	singular	8836
sacraments	plural	9855
genealogy	singular	5271
orator	singular	22999
favorites	plural	6419
puppy	singular	8542
warships	plural	4269
carpets	plural	12025
cohorts	plural	2450
prophecies	plural	12312
comedies	plural	8890
assemblages	plural	1461
spasm	singular	6708
pointers	plural	1971
afternoons	plural	8588
capitalist	singular	9764
trays	plural	4681
moth	singular	16084
razor	singular	8554
pigeon	singular	21616
departures	plural	1902
comma	singular	3243
splendour	singular	30916
powders	plural	4737
robbers	plural	27039
relay	singular	6454
tendons	plural	2553
barge	singular	13574
armaments	plural	3634
liar	singular	15980
commonwealth	singular	28026
sewer	singular	5061
dramatist	singular	9197
cruiser	singular	11324
satin	singular	22976
guts	plural	2671
visitation	singular	10489
beauties	plural	32305
romances	plural	15607
reproach	singular	47382
skeletons	plural	9172
cedar	singular	25932
strap	singular	12202
weavers	plural	6669
tug	singular	13797
kettle	singular	28999
chicks	plural	3283
signification	singular	9695
stools	plural	6731
knock	singular	49748
sparks	plural	19683
quote	singular	30411
communes	plural	3503
rodents	plural	2145
patrols	plural	5998
drains	plural	6535
laborer	singular	10825
labours	plural	34495
dagger	singular	24428
enmity	singular	17167
strides	plural	11201
cares	plural	49803
bottoms	plural	8346
honours	plural	29190
dove	singular	30276
explorations	plural	6998
torment	singular	22805
relapse	singular	6281
licences	plural	1918
delegations	plural	1349
devastation	singular	6311
earners	plural	2278
affliction	singular	21210
chick	singular	8289
lawsuits	plural	2115
appliance	singular	1850
debtors	plural	5650
shepherds	plural	17600
feeder	singular	2646
mule	singular	32535
crater	singular	13515
stretches	plural	18024
shovel	singular	12287
cooks	plural	11641
antagonist	singular	15342
planter	singular	10612
charters	plural	7740
specialties	plural	1342
misfortunes	plural	27725
stanzas	plural	10752
stitches	plural	11188
scrub	singular	14860
chronicle	singular	25093
strikers	plural	3372
pore	singular	8697
separations	plural	1232
sharks	plural	8087
alternation	singular	3171
interruptions	plural	5300
sweetheart	singular	19011
screams	plural	10436
twin	singular	19868
capillary	singular	2668
tributaries	plural	7642
sensibilities	plural	5578
paces	plural	30047
salon	singular	15102
transports	plural	13475
bounty	singular	17820
praises	plural	23550
lordship	singular	57827
claimants	plural	3871
furs	plural	17836
capsules	plural	3641
rugs	plural	12752
legislator	singular	5241
festivities	plural	11039
astronomers	plural	6784
convicts	plural	12075
hatch	singular	15318
crane	singular	18331
grips	plural	3332
covenants	plural	4157
radios	plural	3209
breaths	plural	5519
hindrance	singular	9544
executions	plural	4993
abbreviation	singular	2819
sacks	plural	11528
chemists	plural	5314
cultivators	plural	3736
labourer	singular	12726
orifice	singular	5985
nightmares	plural	1697
birch	singular	22833
locker	singular	6441
teller	singular	10142
banana	singular	6812
biscuits	plural	12278
explorer	singular	8348
prototypes	plural	1437
scouts	plural	30320
burner	singular	6446
allegation	singular	2533
patriarch	singular	15354
beetle	singular	12300
hollow	singular	87036
labyrinth	singular	10342
flaps	plural	3913
translators	plural	3617
settler	singular	8126
pellets	plural	2341
embroidery	singular	13856
medals	plural	9434
catalogues	plural	5768
bluff	singular	28390
ailments	plural	4880
disclosures	plural	3205
mandates	plural	1847
executor	singular	4477
planks	plural	14625
comrade	singular	38830
surname	singular	6677
misrepresentation	singular	3368
oaths	plural	21353
trifle	singular	47669
beggar	singular	33830
ditches	plural	9622
farce	singular	12923
landings	plural	1996
lambs	plural	13676
wrap	singular	12304
losers	plural	1773
petitioners	plural	3834
compliments	plural	24905
sausage	singular	6619
recitation	singular	6848
mathematicians	plural	2880
cages	plural	5856
lure	singular	10521
prosecutors	plural	1083
barber	singular	21243
oracle	singular	15593
holds	plural	79720
farmhouse	singular	11052
intonation	singular	4603
jewel	singular	24397
apprentices	plural	7339
insurgents	plural	11047
entrances	plural	6791
teaspoons	plural	2244
manor	singular	29188
fountains	plural	17840
pretense	singular	7145
peanut	singular	2388
newcomer	singular	8607
killers	plural	1383
coward	singular	33098
pencils	plural	4942
ballads	plural	17628
seduction	singular	3117
pinch	singular	19419
oysters	plural	16721
subscriber	singular	3714
chant	singular	14180
conspirators	plural	15702
synonym	singular	4289
buckets	plural	7509
stairway	singular	14398
crow	singular	36839
subtlety	singular	7462
suites	plural	2068
spiders	plural	9332
barons	plural	20142
hybrid	singular	5443
cons	plural	2398
searching	singular	48736
blaze	singular	35610
fir	singular	20036
charities	plural	8560
monarchs	plural	12533
railing	singular	12964
skulls	plural	10181
perils	plural	19445
uncles	plural	7059
nominee	singular	1913
clamp	singular	2344
kitchens	plural	4612
aberration	singular	3089
vases	plural	16692
glimpses	plural	15566
impediment	singular	6910
bibliographies	plural	1567
porter	singular	54018
bunk	singular	13278
crabs	plural	7943
nipple	singular	1880
brigades	plural	10579
dreamer	singular	8583
reminders	plural	1880
envoy	singular	14805
cruisers	plural	11035
dominions	plural	26006
pyramids	plural	11414
caricature	singular	8745
designations	plural	1666
rhymes	plural	12750
aristocrats	plural	4571
balloons	plural	4718
convert	singular	23113
stipulation	singular	4049
conquerors	plural	15676
admirer	singular	12206
cushions	plural	17629
clergymen	plural	11189
gloss	singular	6702
woe	singular	51999
weddings	plural	4425
germs	plural	12178
peppers	plural	3234
commotion	singular	15854
miner	singular	13942
crab	singular	13801
enquiries	plural	5658
propeller	singular	6770
endowments	plural	6433
perforation	singular	2138
scout	singular	28558
carrot	singular	4315
dump	singular	4526
enthusiasts	plural	4683
denunciation	singular	7441
reliefs	plural	7487
faiths	plural	3535
molds	plural	2142
cartridge	singular	9533
groceries	plural	3820
pint	singular	34008
resistances	plural	1173
shutter	singular	6659
keepers	plural	16309
lagoon	singular	9484
slippers	plural	17400
eyebrow	singular	2924
rector	singular	29750
props	plural	3156
pistols	plural	23249
projector	singular	2406
heaps	plural	26506
gale	singular	43233
binder	singular	2945
hinge	singular	5164
luxuries	plural	14704
paradoxes	plural	2420
riddle	singular	14422
cheque	singular	11260
gems	plural	19245
squadrons	plural	10029
stripe	singular	7255
lowlands	plural	6728
councillors	plural	7908
intestines	plural	6239
crumbs	plural	16100
peculiarity	singular	19011
effusion	singular	6094
cease	singular	69306
beggars	plural	18827
sip	singular	5669
traitors	plural	13865
piers	plural	14199
gleam	singular	41441
hinges	plural	9538
turtles	plural	5351
animosity	singular	8804
rivalries	plural	2217
testament	singular	55339
chests	plural	11590
injustices	plural	1202
arrears	plural	5250
perpetrators	plural	2095
scribes	plural	7591
beak	singular	16757
lawns	plural	7967
tutors	plural	3788
rehearsals	plural	3841
boulder	singular	9558
extravagance	singular	18769
plume	singular	11440
injunctions	plural	7416
guilds	plural	5189
aunts	plural	8432
pavilion	singular	13758
gem	singular	14526
usages	plural	9650
chunk	singular	3373
ale	singular	26359
torrent	singular	27453
appetites	plural	11971
pretence	singular	26672
edict	singular	13554
rollers	plural	7838
miss	singular	845584
ace	singular	8144
throats	plural	15847
rarity	singular	6564
salute	singular	26366
cloves	plural	7701
bicycles	plural	2508
creators	plural	1594
speculators	plural	4725
combatants	plural	12641
straps	plural	8415
hemispheres	plural	3393
austerity	singular	4711
desertion	singular	11384
intuitions	plural	3497
exigencies	plural	8024
courtiers	plural	17609
virgin	singular	65450
odors	plural	6828
wafer	singular	2457
pirate	singular	24016
lifting	singular	42802
shutters	plural	14312
endeavours	plural	16940
flare	singular	7252
allotment	singular	3106
safeguard	singular	9220
shawl	singular	23472
distractions	plural	3314
carpenters	plural	8727
bandage	singular	10166
scribe	singular	9217
puzzles	plural	5831
perturbations	plural	1427
hounds	plural	28720
irregularity	singular	6583
graveyard	singular	8083
fuse	singular	6844
bowels	plural	15905
intrigues	plural	15072
postures	plural	1974
carcass	singular	8878
pauses	plural	9664
sarcasm	singular	12019
perch	singular	15650
hedges	plural	15597
loser	singular	3853
upland	singular	6616
bushels	plural	11342
kits	plural	1251
imaginations	plural	8721
amateur	singular	19503
naturalist	singular	13906
scandals	plural	4193
clumps	plural	7643
tapestry	singular	12541
lumps	plural	9229
trumpets	plural	17374
encroachment	singular	3085
preoccupations	plural	1027
funerals	plural	5770
attentions	plural	21326
bamboo	singular	16414
monographs	plural	1675
dispensation	singular	11678
hearers	plural	17750
cataract	singular	9475
taboos	plural	1564
ventricles	plural	1054
cigars	plural	16908
eruptions	plural	4610
axle	singular	6590
trespass	singular	7061
boon	singular	17550
boilers	plural	7405
intruder	singular	11345
conqueror	singular	29495
refinements	plural	4008
forerunner	singular	4771
pitches	plural	1671
ravine	singular	25179
streaks	plural	9714
unionists	plural	3067
fissure	singular	5356
feats	plural	12601
surveyor	singular	8593
timbers	plural	13026
projectile	singular	5975
astronomer	singular	8615
conceit	singular	17228
strawberries	plural	10849
rigor	singular	4503
peanuts	plural	3615
legions	plural	14258
whim	singular	11936
lizards	plural	6514
marines	plural	15241
waterfall	singular	7386
bandits	plural	5650
nipples	plural	1081
disappointments	plural	8273
formalities	plural	6200
inflection	singular	5416
dresser	singular	7566
alarms	plural	7286
stud	singular	6594
volition	singular	8232
aberrations	plural	1777
delineation	singular	4436
townships	plural	3854
masterpieces	plural	7919
cadence	singular	6081
curses	plural	16668
misconceptions	plural	1549
superstitions	plural	15135
gorge	singular	19979
dew	singular	35684
exertions	plural	27347
mercenaries	plural	5557
mounts	plural	8574
synonyms	plural	4274
mortar	singular	18488
napkin	singular	9737
elevators	plural	2515
exclamation	singular	32250
processions	plural	8248
admonition	singular	8185
reminiscences	plural	14946
parchment	singular	14469
vicar	singular	31403
throng	singular	32000
girdle	singular	19031
celebrities	plural	3333
inducement	singular	7606
solicitation	singular	4090
glories	plural	18869
parishioners	plural	6242
possessor	singular	13962
schooner	singular	32214
pilgrim	singular	26010
impediments	plural	4148
reproductions	plural	3416
racks	plural	3472
altars	plural	14812
kiln	singular	4612
rake	singular	10929
reflector	singular	2310
convict	singular	18060
hearer	singular	6590
breaches	plural	4181
flange	singular	1713
wrinkles	plural	9829
puppets	plural	3642
materialist	singular	1972
amateurs	plural	6062
pellet	singular	1767
clique	singular	3005
hues	plural	14029
lighthouse	singular	10651
gums	plural	5798
errand	singular	34023
victor	singular	45392
mosques	plural	3934
armchair	singular	8656
jerk	singular	14379
stair	singular	20623
brace	singular	18185
prop	singular	9246
teaspoon	singular	8163
moths	plural	8370
lance	singular	31448
breeders	plural	2956
recesses	plural	14514
crib	singular	5791
jurists	plural	2384
barns	plural	8750
finishes	plural	3277
toilets	plural	1388
breakers	plural	12892
chaps	plural	16368
dentists	plural	1034
confiscation	singular	7022
prosecutions	plural	2983
cemeteries	plural	3443
defeats	plural	7492
kitten	singular	11979
despatch	singular	25741
butler	singular	52500
strictures	plural	3148
spurs	plural	21906
rattle	singular	23600
webs	plural	5205
perversion	singular	4851
personages	plural	18547
adventurers	plural	17741
apologies	plural	9056
taboo	singular	4791
playwrights	plural	1476
dormitory	singular	5871
sufferers	plural	10772
chronicles	plural	13950
telescopes	plural	4072
squirrels	plural	9782
doorstep	singular	6770
lament	singular	16450
counsellor	singular	11744
millionaire	singular	13023
batches	plural	1296
stew	singular	13985
bouquet	singular	11353
torches	plural	17585
inventors	plural	6147
culprit	singular	9971
roadway	singular	8505
whispers	plural	17980
breaker	singular	6070
sprays	plural	3780
chapels	plural	11150
forks	plural	13884
exhortation	singular	7702
aisles	plural	10956
arbitrators	plural	1328
destinies	plural	10990
dynasties	plural	5231
microbes	plural	2021
constellations	plural	5540
congratulations	plural	13097
domes	plural	6990
hare	singular	33008
pedigree	singular	7887
sidewalks	plural	3653
deformities	plural	2057
robber	singular	20758
anchors	plural	6741
schoolmaster	singular	18768
sockets	plural	6320
footprints	plural	8436
marine	singular	40190
hermit	singular	24822
plough	singular	20813
oppositions	plural	1040
grammars	plural	1730
bribes	plural	5256
terrors	plural	19938
crackers	plural	7604
preposition	singular	3334
citadel	singular	17020
plow	singular	9702
passports	plural	4931
dime	singular	4319
straits	plural	22060
rudder	singular	10570
psalms	plural	16893
peaches	plural	12064
boar	singular	16671
serfs	plural	6455
kernels	plural	4013
assassin	singular	11543
sandstones	plural	2161
snails	plural	4241
knuckles	plural	6451
clerics	plural	1499
platter	singular	6346
guild	singular	10305
ointment	singular	8125
tumult	singular	28005
cowboys	plural	7141
rapture	singular	19889
dragons	plural	7828
gardeners	plural	6311
rap	singular	9098
vesicle	singular	2194
hordes	plural	8080
telegrams	plural	7641
personage	singular	26235
drinkers	plural	2776
bales	plural	8768
tigers	plural	10069
beginner	singular	5465
scrolls	plural	2891
timers	plural	1147
parte	singular	6623
participle	singular	4223
rein	singular	18365
flattery	singular	17265
braces	plural	4697
veranda	singular	15826
baron	singular	80239
multitudes	plural	17510
sculptors	plural	5562
galley	singular	16399
bout	singular	28425
vampire	singular	3138
pods	plural	4667
gauges	plural	1492
misconception	singular	4010
